2026-07-22 09:25:59.968 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE047A01021/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:25:59.998 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE758T01015/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:26:00.032 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE935N01020/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:26:00.067 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE797F01020/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:26:00.103 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE878B01027/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:26:00.134 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE066A01021/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:26:00.167 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE303R01014/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:26:00.201 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE237A01036/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:26:00.231 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE498L01015/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:26:00.263 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE324D01010/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:26:00.311 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE115A01026/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:26:05.067 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE016A01026/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:26:05.086 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE361B01024/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:26:05.119 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE089A01031/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:26:05.147 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE274J01014/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:26:05.179 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE797F01020/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:26:05.204 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE758T01015/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:26:05.233 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE935N01020/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:26:05.262 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE982J01020/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:26:05.292 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE881D01027/day/2026-07-22/2026-06-22: Event loop is closed
